review,rating,sentiment
The food was absolutely delicious and fresh. Really enjoyed the meal today!,5,good
Great taste and quality. The dal was perfect.,5,good
Loved the variety in today's menu. Everything was hot and tasty.,5,good
Food quality is excellent. Keep it up!,5,good
Very satisfied with the meal. Good job mess team!,4,good
The sabzi was good but could use more spices.,4,good
Decent meal overall. Chapatis were soft and fresh.,4,good
Food was okay. Nothing special but acceptable.,3,good
Average quality food. Could be better.,3,good
The meal was edible but not great.,3,good
Food was cold when served. Not acceptable.,2,bad
The rice was undercooked and hard to eat.,2,bad
Very poor quality today. Food tasted stale.,2,bad
Chapatis were hard and difficult to eat.,2,bad
Found the food tasteless and bland.,2,bad
Terrible meal. Food was cold and stale.,1,bad
Worst food quality ever. Inedible.,1,bad
The dal was watery and had no taste at all.,1,bad
Food was smelling bad. Unhygienic.,1,bad
Completely disappointed with today's meal.,1,bad
The breakfast was amazing! Hot parathas and fresh curd.,5,good
Loved the poha today. Perfect seasoning.,5,good
Excellent breakfast spread. Very filling.,4,good
Good morning meal. Tea was great.,4,good
Breakfast was decent. Could add more variety.,3,good
The upma was too dry and tasteless.,2,bad
Breakfast was cold and boring.,2,bad
Terrible start to the day. Bad breakfast.,1,bad
Lunch was fantastic! Biryani was delicious.,5,good
Amazing lunch spread today. Loved the chicken curry.,5,good
Very good lunch. Roti and sabzi were perfect.,4,good
Decent lunch but portion size was small.,3,good
Lunch was below average. Food was lukewarm.,2,bad
Horrible lunch. Everything was undercooked.,1,bad
Dinner was excellent. Fresh salad and hot roti.,5,good
Great dinner menu. Enjoyed the paneer curry.,5,good
Good dinner overall. Dal was tasty.,4,good
Dinner was okay but nothing special.,3,good
Dinner was disappointing. Cold food.,2,bad
Worst dinner ever. Food was stale.,1,bad
The mess has improved a lot lately. Great food!,5,good
Hygiene standards are good. Food is always fresh.,5,good
Quality has been consistent. Very happy.,4,good
Clean environment and good food quality.,4,good
Staff is polite and food is decent.,3,good
Service is slow but food is okay.,3,good
Hygiene is poor. Need improvement.,2,bad
Saw insects in food. Very unhygienic.,1,bad
The paneer was fresh and well-cooked.,5,good
Loved the mixed veg today. Perfect spices.,5,good
Rice was perfectly cooked and fluffy.,4,good
Good variety of vegetables in sabzi.,4,good
Vegetables were fresh but undercooked.,3,good
The sabzi was too oily and heavy.,2,bad
Vegetables were stale and smelly.,1,bad
Perfect quantity and quality. Very satisfied.,5,good
Generous portions and delicious food.,5,good
Portion size is good. Food is tasty.,4,good
Quantity is okay but quality needs work.,3,good
Very small portions. Still hungry.,2,bad
Barely any food served. Pathetic.,1,bad
The mess timing is perfect. Food is always hot.,5,good
Hot food served on time. Excellent.,4,good
Food gets cold by the time we reach.,3,good
Late serving. Food was cold.,2,bad
Always delayed. Food quality suffers.,1,bad
The soup was delicious and hot.,5,good
Loved the salad variety today.,4,good
Curd was fresh and tasty.,4,good
Pickle was too spicy for me.,3,good
The chutney was stale.,2,bad
Dessert was amazing! Loved the kheer.,5,good
Sweet dish was perfect. Not too sugary.,4,good
Dessert was okay. Could be better.,3,good
Sweet was too sugary and artificial.,2,bad
No dessert served today. Disappointed.,1,bad
The chapatis were soft and perfectly made.,5,good
Rotis were fresh and hot.,4,good
Chapatis were a bit hard.,3,good
Rotis were burnt and inedible.,2,bad
Chapatis were stale from yesterday.,1,bad
Dal was perfectly seasoned and tasty.,5,good
Sambhar was excellent today.,4,good
Dal was okay but needed more salt.,3,good
Dal was too watery and bland.,2,bad
Dal was sour and tasted off.,1,bad
Rice quality is always top notch here.,5,good
Perfectly cooked rice every time.,4,good
Rice was okay but a bit sticky.,3,good
Rice was undercooked and hard.,2,bad
Rice was spoiled and smelling.,1,bad
The breakfast idli was soft and perfect.,5,good
Loved the dosa today. Crispy and hot.,5,good
Vada was good but a bit oily.,4,good
South Indian breakfast needs improvement.,3,good
Idli was hard and cold.,2,bad
Sambar tasted strange and bad.,1,bad
North Indian thali was amazing!,5,good
Loved the rajma chawal today.,5,good
Chole bhature was delicious.,4,good
Thali was decent. Good variety.,4,good
Thali was average. Nothing special.,3,good
Gravy was too spicy and oily.,2,bad
North Indian food was terrible.,1,bad
South Indian meals are always great here.,5,good
Perfect combination of flavors.,4,good
South Indian food needs more variety.,3,good
Sambhar was tasteless today.,2,bad
Totally disappointed with South meals.,1,bad
