review,rating,sentiment
dessert kha ke maza aa gaya.,4,good
fish curry is khatam.,1,bad
I had a super agide rice.,5,good
atmosphere bekar hai.,2,bad
curd chala lovely.,5,good
dosa ws mazza aa gaya bhai.,5,good
soup is full sakath.,5,good
methi paratha kha ke mood kharab.,1,bad
dosa bakwaas taste.,1,bad
baingan bharta chala keka.,5,good
sambar chala lajawab.,4,good
khichdi bombat.,5,good
experience was absolutely delicious.,5,good
egg curry full tasty.,5,good
The dosa tasted chennagilla.,1,bad
rajma is full waste.,1,bad
Ivattu khana adhurs.,5,good
dosa was bagundi bhai.,4,good
aloo gobi kha ke maza aa gaya.,4,good
mushroom masala bahut badhiya hai.,5,good
aaj ka dal ghatiya tha.,1,bad
mess pura tumba chennagide hai.,4,good
aaj dal bakwaas si.,2,bad
The food tasted bakwas.,1,bad
breakfast pura bombat hai.,5,good
mess keka.,5,good
The kadai chicken ws sahi hai.,5,good
methi paratha ghaint taste.,5,good
khichdi super agide taste.,5,good
Really mast agide service.,5,good
Such a att rice.,5,good
oota kha ke mood kharab.,1,bad
aaj ka vada great tha.,4,good
aaj pulao keka si.,4,good
Ivattu mushroom masala super agide.,5,good
rice bekaar taste.,2,bad
The sambar tasted baga chesaru.,5,good
Such a bekar uttapam.,1,bad
the vibe was daridram.,2,bad
"loved the staff, it was ruchi agide.",5,good
vibe tumba bombat.,4,good
The biryani tasted kettadagide.,3,bad
uttapam sakath hai.,5,good
the vibe tasted changa.,5,good
aaj ka kadai chicken not good tha.,1,bad
paneer baledu lagya.,1,bad
"Hated the chole, it was tasteless.",1,bad
butter chicken kha ke mood kharab.,2,bad
"Loved the pulao, it was super agide.",5,good
aaj ka khana waste tha.,1,bad
butter chicken tumba worst agide.,2,bad
da khana tasted chennagide.,5,good
The staff was ghatiya.,2,bad
experience chala fantastic.,5,good
sambar chennagilla.,2,bad
Such a bekar breakfast.,1,bad
breakfast bahut pathetic hai.,1,bad
dessert chala baledu.,2,bad
food mazza aa gaya.,5,good
naan chala bagundi hai.,5,good
really ghaint atmosphere.,5,good
aaj pulao chetta si.,1,bad
chole excellent ga undi.,4,good
The curd tasted chennagide.,5,good
Really chennagide pickle.,4,good
idli chala sakath.,5,good
khichdi was absolutely bakwas.,2,bad
place jama baledu hai.,1,bad
aaj chapati sari illa si.,3,bad
The quality tasted adhurs.,5,good
vada bahut baga chesaru hai.,5,good
mixed veg ruchi agide lagya.,5,good
fish curry ws sari illa bhai.,1,bad
paneer was bekaar bhai.,1,bad
place full tasteless.,2,bad
palak paneer was absolutely fuddu.,3,bad
rice bahut maada hai.,1,bad
raita bahut adhurs hai.,5,good
sambar chennagilla.,1,bad
dinner is full nasty.,1,bad
kadai chicken chetta hai.,2,bad
really kharaab curd.,1,bad
palak paneer khatam.,1,bad
atmosphere excellent ga undi lagya.,4,good
aaj ka experience swadisht tha.,5,good
ivattu rice ganda.,1,bad
naan is awesome.,5,good
the soup was worst agide.,1,bad
dinner zabardast.,4,good
curry kirrak taste.,5,good
atmosphere asalu not good.,1,bad
aaj ka food ruchi agide tha.,5,good
The mushroom masala was bekar.,3,bad
naan khatam.,1,bad
mushroom masala kha ke mood kharab.,1,bad
dosa bahut awesome hai.,5,good
palak paneer super agide hai.,5,good
"hated the sambar, it ws ghatiya.",1,bad
aaj ka staff baledu tha.,2,bad
dosa pura delicious hai.,5,good
such a tumba chennagide service.,4,good
aaj ka methi paratha khatam tha.,1,bad
i had a sira mixed veg.,5,good
dal makhani pura osm hai.,5,good
really vadiya chicken.,5,good
dessert swaad taste.,5,good
bhojanam swaad ni hai.,1,bad
staff chala outstanding.,5,good
breakfast vadiya hai.,5,good
the poha was disgusting.,1,bad
palak paneer kharaab hai.,3,bad
puri was absolutely ruchi illa.,1,bad
mixed veg matram swadisht.,5,good
mixed veg daridram hai.,1,bad
I had a awesome chutney.,4,good
raita bahut awful hai.,2,bad
sambar keka taste.,4,good
chutney full ruchi agide.,5,good
I had a worst agide dessert.,1,bad
aaj atmosphere sahi hai si.,5,good
atmosphere bahut awesome hai.,5,good
chutney sari illa.,1,bad
such a jhakaas khichdi.,5,good
oota sakath lagya.,4,good
the lunch was chandalanga undi.,3,bad
rajma chetta.,2,bad
paratha matram mast agide.,5,good
breakfast chala fuddu.,1,bad
oota pura ruchi ga undi hai.,5,good
rice was absolutely vadiya.,5,good
mixed veg kha ke mood kharab.,1,bad
idli chala att.,5,good
roti pura kirrak hai.,5,good
palak paneer ws absolutely zabardast.,5,good
experience bekar taste.,2,bad
curry iz full excellent.,5,good
bhatura ruchi illa taste.,1,bad
curd bahut daridram hai.,1,bad
uttapam thu hai.,1,bad
egg curry full swaad.,5,good
experience full bakwas.,1,bad
aaj ka sabzi outstanding tha.,5,good
aaj sabzi thu si.,2,bad
such a mood kharab dinner.,1,bad
dinner kha ke maza aa gaya.,5,good
upma jama terrible hai.,3,bad
curry zabardast taste.,4,good
aaj sambar changa si.,5,good
palak paneer asalu waste.,2,bad
rice ghaint.,5,good
aaj place daridram si.,1,bad
I had a mazza aa gaya egg curry.,4,good
khichdi swaad.,5,good
curry chala bagundi hai.,4,good
da rice was not good.,1,bad
rajma swadisht taste.,5,good
staff ruchi ga undi taste.,4,good
chole is full sakath.,5,good
atmosphere chala not good.,1,bad
service jhakaas hai.,5,good
Ivattu poha bekar.,1,bad
the oota tasted bakwas.,1,bad
"Hated the chapati, it was gross.",2,bad
Ivattu oota bombat.,4,good
soup chala keka.,4,good
roti sakath.,5,good
biryani was absolutely sahi hai.,5,good
Really chetta mess.,3,bad
palak paneer ruchi ledu.,1,bad
staff tumba outstanding.,5,good
khana jama bekar hai.,3,bad
Eeroju mess baledu.,1,bad
The roti tasted ruchi ga undi.,4,good
Ivattu vibe sakath.,5,good
such a chetta breakfast.,1,bad
The rice ws unpleasant.,3,bad
I had a ruchi illa fish curry.,1,bad
aaj chole perfect si.,5,good
vada excellent.,5,good
khana bahut sari illa hai.,1,bad
butter chicken full not good.,1,bad
chole ruchi illa hai.,2,bad
pickle bahut bagundi hai.,4,good
I had a chetta sabzi.,3,bad
soup chala delicious.,5,good
pickle keka hai.,5,good
