review,rating,sentiment,language
mess da poori zahar,1,bad,punjabi
bro uppit perfect ga undi,5,good,telugu
vada pav faltu hai yaar,2,bad,punjabi
mess da omelette regret ho reha,1,bad,punjabi
scrambled egg try karo lajawab hai,5,good,hindi
sheera tinda mele mood spoil,2,bad,kannada
bro toor dal mast undi,4,good,telugu
bhajji try chesthe baga tasty,5,good,telugu
aloo paratha khake daab aa gayi feel hoya,5,good,punjabi
seriously bro omelette mood spoil,1,bad,kannada
chai try cheyakandi disgusting,2,bad,telugu
bro gulab jamun manchi,5,good,telugu
yo pizza was straight up legendary,4,good,english
seriously bro noodles taste illa bro,2,bad,kannada
masoor dal hits different legendary,5,good,english
pulao regret hai bhai,1,bad,hindi
mess ka dhokla bewakoof banaya,2,bad,hindi
puttu mat khao paisa barbaad hai,1,bad,hindi
mess alli poori perfect,5,good,kannada
mess ch scrambled egg lajawab si si,4,good,punjabi
bh scrambled egg solid taste h,5,good,punjabi
manchurian khake ulti aa gayi feel,3,bad,hindi
scrambled egg try chesthe superb ga undi,5,good,telugu
fried rice hits different legendary,5,good,english
kesari skip karo zahar hai,1,bad,punjabi
noodles is straight zero stars,1,bad,english
mess da poori na khao,1,bad,punjabi
mess bhel puri full kemp agide,1,bad,kannada
pongal khake regret ho reha feel,2,bad,punjabi
pongal eat cheyaleka undi bro,1,bad,telugu
nah manchurian is trash,1,bad,english
full dhokla nalla aithu bro,5,good,kannada
yaar uppit ekdum ekdum perfect si,5,good,punjabi
boiled egg skip maadi taste illa bro,2,bad,kannada
mess lo halwa mast undi undi,4,good,telugu
bhajji try madi nalla aithu,5,good,kannada
mess pongal disgusting,1,bad,telugu
bro pizza was straight garbage,2,bad,english
kachori eat cheyaleka undi bro,1,bad,telugu
bro coffee was straight garbage,2,bad,english
cutlet is straight L food,1,bad,english
mess dhokla full taste illa bruh,2,bad,kannada
bhai pav bhaji bahut tasty,5,good,hindi
mess halwa full mood spoil,2,bad,kannada
bro poori mast undi,4,good,telugu
mess pizza is absolutely fire,5,good,english
scrambled egg try chesthe mast undi,5,good,telugu
tried chai regret trash,1,bad,english
pakoda baledu bruh undi bruh,1,bad,telugu
full bhajji tasty bandu bruh,5,good,kannada
tried appam and it was no cap good,4,good,english
noodles skip maadi mood spoil,2,bad,kannada
mess da burger zahar,3,bad,punjabi
mess appam lowkey ruined my day,1,bad,english
masoor dal bekagilla guru,1,bad,kannada
mess mein boiled egg maja aa gaya full tha,5,good,hindi
toast khake zahar feel,1,bad,punjabi
yo dal fry was straight up top tier,5,good,english
yaar vada pav ekdum lajawab si si,4,good,punjabi
seriously kachori taste leka,1,bad,telugu
mess mein masoor dal ekdum zabardast tha,4,good,hindi
kachori mood spoil guru,2,bad,kannada
mess lo bhajji mast undi undi,5,good,telugu
bro momos tasty bandu aithu,4,good,kannada
mess ka cutlet khana hi nahi,1,bad,hindi
nah maggi is zero stars,2,bad,english
cutlet khake daab aa gayi feel hoya,5,good,punjabi
pizza tini tarvata mood off,1,bad,telugu
bajji hits different lit,5,good,english
nah scrambled egg is L food,2,bad,english
boiled egg khake full mast feel aaya,5,good,hindi
bhai gobi paratha solid taste hai,5,good,punjabi
mess manchurian pani pattadu,1,bad,telugu
momos tinda mele super aithu feel aaithu,4,good,kannada
cutlet is straight l food,1,bad,english
kesari khake na khao feel,2,bad,punjabi
yo samosa was straight up slaps,5,good,english
mess toor dal lowkey zero stars,2,bad,english
cutlet tinda mele super aithu feel aaithu,5,good,kannada
dal fry skip maadi disgusting aithu,2,bad,kannada
mess ch bhajji kamaal si,4,good,punjabi
