review,rating,sentiment,language
chicken kha ke mood kharab.,1,bad,hindi
da quality was op.,5,good,english
roti asalu baledu.,2,bad,telugu
biryani bahut kharaab hai.,2,bad,hindi
puri tumba keka.,5,good,kannada
khana bekaar lagya.,1,bad,punjabi
dinner bahut vadiya hai.,5,good,punjabi
dal makhani bahut awesome hai.,4,good,hindi
salad chala kirrak.,4,good,telugu
chole full sakath.,4,good,kannada
pulao kha ke maza aa gaya.,4,good,hindi
upma kettadagide.,2,bad,kannada
idli bahut waste hai.,3,bad,hindi
mushroom masala pura ghaint hai.,5,good,punjabi
puri pura changa hai.,5,good,punjabi
lunch excellent ga undi.,5,good,telugu
dessert ganda hai.,1,bad,punjabi
upma kha ke maza aa gaya.,4,good,hindi
rajma was absolutely worst.,1,bad,english
uttapam bahut waste hai.,1,bad,hindi
mixed veg kha ke mood kharab.,2,bad,hindi
dosa jhakaas hai.,5,good,hindi
breakfast was absolutely terrible.,1,bad,english
salad was absolutely gross.,3,bad,english
bhojanam kirrak.,5,good,telugu
palak paneer baledu.,1,bad,telugu
biryani was absolutely disgusting.,3,bad,english
egg curry bahut badhiya hai.,5,good,hindi
mixed veg matram adhurs.,5,good,telugu
poha pura changa hai.,5,good,punjabi
roti full bombat.,5,good,kannada
aaj ka puri mood kharab tha.,2,bad,hindi
dal makhani tumba tumba chennagide.,5,good,kannada
meal nodoke kettadagide.,1,bad,kannada
I had a osm paneer.,4,good,english
dal kirrak.,4,good,telugu
puri full sakath.,5,good,kannada
chutney asalu asalu baledu.,2,bad,telugu
aloo gobi bekar lagya.,1,bad,punjabi
breakfast bahut khatam hai.,1,bad,hindi
bhojanam tumba chennagilla.,1,bad,kannada
bhojanam chala kirrak.,5,good,telugu
i had a bland mushroom masala.,1,bad,english
roti fuddu lagya.,1,bad,punjabi
paratha is great.,5,good,english
da aloo gobi tasted nice.,5,good,english
sambar jama bakwaas hai.,1,bad,punjabi
Such a lovely chole.,5,good,english
mushroom masala jama bakwaas hai.,1,bad,punjabi
chapati kha ke ghaint feel hoya.,5,good,punjabi
Ivattu baingan bharta chennagilla.,1,bad,kannada
The service was tasty.,4,good,english
aaj khana bekaar si.,2,bad,punjabi
food chala asalu baledu.,1,bad,telugu
curd sari illa.,1,bad,kannada
aaj biryani vadiya si.,5,good,punjabi
such a delicious chicken.,5,good,english
khana bakwaas hai.,1,bad,punjabi
dal tumba sari illa.,3,bad,kannada
baingan bharta asalu baledu.,1,bad,telugu
chutney nodoke bekar.,1,bad,kannada
chicken kha ke maza aa gaya.,4,good,hindi
dal makhani mazza aa gaya lagya.,4,good,punjabi
Eeroju aloo gobi baledu.,1,bad,telugu
i had a poor sambar.,1,bad,english
paratha is fantastic.,5,good,english
palak paneer full sakath.,5,good,kannada
food bombat.,5,good,kannada
curd kharaab hai.,2,bad,hindi
dal makhani changa lagya.,4,good,punjabi
vada nodoke bombat.,5,good,kannada
butter chicken kharaab hai.,3,bad,hindi
egg curry asalu daridram.,1,bad,telugu
dinner asalu chala baledu.,2,bad,telugu
the dinner tasted superb.,5,good,english
butter chicken full ruchi agide.,5,good,kannada
curd ruchi ledu.,1,bad,telugu
vada nodoke bombat.,5,good,kannada
i had a amazing chole.,5,good,english
khana bahut not good hai.,2,bad,hindi
mixed veg kha ke maza aa gaya.,5,good,hindi
upma bakwaas hai.,1,bad,punjabi
roti kha ke sira feel hoya.,5,good,punjabi
Really fantastic chole.,4,good,english
Eeroju chapati excellent ga undi.,4,good,telugu
"Loved the naan, it ws superb.",5,good,english
really wonderful sambar.,5,good,english
mushroom masala kha ke swaad ni feel hoya.,1,bad,punjabi
curry kha ke mood kharab.,2,bad,hindi
lunch bahut not good hai.,3,bad,hindi
aaj ka meal chii tha.,1,bad,hindi
sabzi was absolutely worst.,1,bad,english
I had a nice sabzi.,4,good,english
I had a perfect service.,4,good,english
aaj naan sira si.,5,good,punjabi
mushroom masala kha ke bekar feel hoya.,1,bad,punjabi
breakfast bekar lagya.,2,bad,punjabi
the staff tasted disgusting.,2,bad,english
soup full bombat.,4,good,kannada
egg curry bahut kharaab hai.,1,bad,hindi
sambar maada lagya.,1,bad,punjabi
"hated da raita, it ws bland.",1,bad,english
sabzi bahut swadisht hai.,5,good,hindi
bhatura nodoke chennagilla.,1,bad,kannada
paratha bahut swadisht hai.,5,good,hindi
curry swaad hai.,5,good,punjabi
aaj ka khichdi zabardast tha.,4,good,hindi
dal makhani ganda hai.,3,bad,punjabi
the upma was pathetic.,1,bad,english
paratha tumba chennagide.,5,good,kannada
biryani ekdum gazab hai.,5,good,hindi
da vibe tasted wonderful.,5,good,english
really amazing roti.,5,good,english
such a gross egg curry.,3,bad,english
food chala chala baledu.,2,bad,telugu
khichdi ganda hai.,1,bad,punjabi
palak paneer kha ke mood kharab.,1,bad,hindi
really nasty fish curry.,1,bad,english
paratha tumba waste.,1,bad,kannada
pickle nodoke worst agide.,1,bad,kannada
dinner ekdum bekaar hai.,1,bad,hindi
khana pura vadiya hai.,5,good,punjabi
pulao vadiya lagya.,5,good,punjabi
paratha sira hai.,5,good,punjabi
idli tinte asalu baledu anipinchindi.,2,bad,telugu
ivattu aloo gobi mast agide.,5,good,kannada
aaj salad bakwaas si.,1,bad,punjabi
naan kha ke mood kharab.,1,bad,hindi
chutney kha ke maza aa gaya.,4,good,hindi
The khana tasted bland.,1,bad,english
pickle changa lagya.,5,good,punjabi
salad bahut bakwas hai.,2,bad,hindi
baingan bharta pura att hai.,4,good,punjabi
paratha full super agide.,5,good,kannada
paratha asalu chala baledu.,1,bad,telugu
sabzi matram baga chesaru.,5,good,telugu
poha bekar lagya.,2,bad,punjabi
chapati was absolutely outstanding.,5,good,english
bhatura mast agide.,4,good,kannada
Eeroju methi paratha excellent ga undi.,4,good,telugu
meal ghaint hai.,5,good,punjabi
curry bekar.,1,bad,kannada
baingan bharta kha ke maada feel hoya.,1,bad,punjabi
The mess tasted wonderful.,4,good,english
dal makhani ruchi ga undi.,5,good,telugu
rice ekdum ghatiya hai.,1,bad,hindi
sabzi bahut awesome hai.,5,good,hindi
rice matram adhurs.,5,good,telugu
eeroju chutney asalu baledu.,1,bad,telugu
Ivattu naan chennagide.,5,good,kannada
khana full sakath.,5,good,kannada
chutney nodoke tumba chennagide.,5,good,kannada
aaj chole bekaar si.,1,bad,punjabi
the salad tasted delicious.,4,good,english
dal makhani bahut khatam hai.,2,bad,hindi
curry chala baledu.,1,bad,telugu
aaj mixed veg bekaar si.,1,bad,punjabi
ivattu food chennagide.,5,good,kannada
rice vadiya hai.,5,good,punjabi
eeroju dal makhani keka.,4,good,telugu
naan nodoke sakath.,4,good,kannada
dosa keka.,5,good,kannada
the khichdi tasted brilliant.,5,good,english
dinner ekdum bekar hai.,1,bad,hindi
food swaad ni hai.,3,bad,punjabi
"Hated the biryani, it was horrible.",1,bad,english
baingan bharta jhakaas hai.,5,good,hindi
khana chala worst ga undi.,1,bad,telugu
meal bahut mast hai.,4,good,hindi
dinner pura att hai.,5,good,punjabi
bhojanam baledu.,1,bad,telugu
meal kha ke maza aa gaya.,5,good,hindi
Ivattu biryani waste.,1,bad,kannada
dosa kha ke changa feel hoya.,4,good,punjabi
oota full thu.,1,bad,kannada
"loved the sabzi, it was lovely.",5,good,english
aaj ka paratha awesome tha.,5,good,hindi
such a bad curry.,2,bad,english
eeroju curd excellent ga undi.,5,good,telugu
chutney matram super.,5,good,telugu
chole was absolutely bland.,2,bad,english
aaj poha sira si.,5,good,punjabi
curry tinte waste anipinchindi.,1,bad,telugu
dosa kha ke att feel hoya.,5,good,punjabi
butter chicken kha ke swaad feel hoya.,5,good,punjabi
rice vadiya lagya.,5,good,punjabi
