review,rating,sentiment
The khichdi was amazing and hot.,4,good
food was great. sambar tasted crispy.,4,good
Sambar tasted strange and bad.,1,bad
khichdi quality is stale. upset job.,1,bad
chicken quality is great. great job.,5,good
Found the sabzi to be bad but cold.,1,bad
The dal was authentic and piping hot.,4,good
Not happy with dinner. rajma was fresh.,5,good
The rajma was stale and cold.,2,bad
bad experience. The dal was bland.,1,bad
Not happy with dinner. paratha was awful.,1,bad
Loved the mixed veg today. Perfect spices.,5,good
Dal was okay but needed more salt.,3,good
Not happy with dinner. paneer was overcooked.,1,bad
Absolute poor meal. dosa was horrible.,1,bad
Totally disappointed with South meals.,1,bad
The paratha served for breakfast was delicious.,4,good
Really pleased food today. upma was amazing.,4,good
Not happy with food. poha was oily.,1,bad
Average quality food. Could be better.,3,good
The rice was undercooked and hard to eat.,2,bad
Really bad breakfast today. salad was burnt.,2,bad
Very wonderful with the food. dosa was spicy.,4,good
Found the dal to be rich but piping hot.,5,good
food was good. dessert tasted yummy.,5,good
Rice was okay but a bit sticky.,3,good
Loved the dosa today. Crispy and hot.,5,good
Really fantastic breakfast today. dosa was authentic.,4,good
salad quality is undercooked. bad job.,1,bad
Found the chicken to be authentic but freshly made.,4,good
roti quality is bland. pathetic job.,1,bad
Absolute fantastic breakfast. sambar was crispy.,4,good
lunch was upset. idli tasted awful.,1,bad
Saw insects in food. Very unhygienic.,1,bad
good experience. The dal was delicious.,5,good
breakfast was good. salad tasted soft.,4,good
Food quality is excellent. Keep it up!,5,good
dal quality is salty. terrible job.,1,bad
great experience. The chicken was perfect.,5,good
The sambar served for dinner was disgusting.,2,bad
Very poor with the meal. dal was tasteless.,2,bad
Absolute upset lunch. paneer was disgusting.,1,bad
Very disappointed with the dinner. roti was hard.,1,bad
Found the salad to be rich but hot.,4,good
The upma served for dinner was amazing.,4,good
Really fantastic dinner today. poha was authentic.,4,good
paratha quality is burnt. upset job.,1,bad
Found the upma to be hard but frozen.,1,bad
The upma served for dinner was crispy.,5,good
Generous portions and delicious food.,5,good
Absolute great dinner. rajma was fresh.,4,good
Barely any food served. Pathetic.,1,bad
good experience. The dosa was tasty.,5,good
Good variety of vegetables in sabzi.,4,good
The biryani was horrible and lukewarm.,1,bad
Rice was perfectly cooked and fluffy.,4,good
The poha was undercooked and chilled.,2,bad
satisfied experience. The khichdi was perfect.,5,good
Really good dinner today. poha was tasty.,5,good
Found the rice to be awful but cold.,1,bad
The salad served for food was soft.,4,good
Not happy with lunch. poha was bad.,1,bad
The khichdi served for lunch was crispy.,4,good
Very good with the food. salad was fresh.,5,good
Absolute horrible meal. idli was tasteless.,2,bad
Really good breakfast today. rice was yummy.,4,good
Chapatis were a bit hard.,3,good
Really happy dinner today. rajma was flavorful.,5,good
breakfast was pathetic. sabzi tasted terrible.,2,bad
The curd served for meal was great.,5,good
curd quality is bland. upset job.,2,bad
rice quality is oily. unhappy job.,1,bad
The paratha served for food was salty.,1,bad
salad quality is soft. pleased job.,4,good
Very poor quality today. Food tasted stale.,2,bad
Found the salad to be great but hot.,5,good
Not happy with dinner. khichdi was crispy.,4,good
The paratha served for food was bad.,2,bad
Dinner was excellent. Fresh salad and hot roti.,5,good
Perfectly cooked rice every time.,4,good
wonderful experience. The upma was flavorful.,5,good
Great taste and quality. The dal was perfect.,5,good
Really delighted lunch today. sabzi was fresh.,4,good
Very satisfied with the lunch. paratha was superb.,4,good
Really upset dinner today. upma was overcooked.,2,bad
The mess timing is perfect. Food is always hot.,5,good
Not happy with dinner. dessert was burnt.,2,bad
The paneer was fresh and well-cooked.,5,good
Really horrible breakfast today. rice was bad.,2,bad
Absolute fantastic meal. soup was tasty.,4,good
The sabzi was too oily and heavy.,2,bad
Hygiene is poor. Need improvement.,2,bad
Really frustrated food today. sambar was salty.,1,bad
The sabzi was rich and hot.,4,good
The food was absolutely delicious and fresh. Really enjoyed the meal today!,5,good
Not happy with food. curd was superb.,4,good
Absolute good dinner. soup was fresh.,5,good
Completely disappointed with today's meal.,1,bad
Very pleased with the food. rice was fresh.,4,good
Very fantastic with the meal. chole was superb.,5,good
The sambar was spicy and piping hot.,4,good
Very delighted with the breakfast. sambar was soft.,4,good
Really delighted dinner today. idli was spicy.,4,good
Not happy with food. curd was hard.,2,bad
biryani quality is excellent. fantastic job.,5,good
Not happy with dinner. paneer was flavorful.,4,good
The sambar served for meal was yummy.,4,good
Really poor food today. dal was disgusting.,1,bad
The rice served for breakfast was terrible.,2,bad
Absolute pathetic dinner. curd was bland.,1,bad
Not happy with breakfast. chole was undercooked.,2,bad
Quality has been consistent. Very happy.,4,good
The sabzi was authentic and hot.,4,good
Pickle was too spicy for me.,3,good
Sweet was too sugary and artificial.,2,bad
Not happy with lunch. curd was delicious.,4,good
The dosa served for lunch was tasteless.,2,bad
dal quality is tasty. pleased job.,5,good
Really delighted meal today. sabzi was rich.,4,good
Very happy with the breakfast. chole was rich.,4,good
Not happy with dinner. sambar was spicy.,4,good
The rice served for meal was soft.,4,good
Really satisfied breakfast today. chicken was excellent.,4,good
Very satisfied with the lunch. rajma was spicy.,4,good
Found the soup to be tasteless but cold.,1,bad
Very happy with the breakfast. chicken was amazing.,5,good
Very pathetic with the breakfast. curd was bland.,1,bad
poha quality is terrible. frustrated job.,2,bad
The dal was fresh and hot.,4,good
Great dinner menu. Enjoyed the paneer curry.,5,good
Not happy with breakfast. roti was poor.,2,bad
Found the chicken to be spicy but warm.,4,good
Absolute satisfied food. soup was great.,4,good
Very disappointed with the dinner. roti was horrible.,1,bad
Absolute satisfied lunch. sabzi was great.,5,good
Absolute upset food. sabzi was undercooked.,2,bad
South Indian meals are always great here.,5,good
The roti was overcooked and frozen.,2,bad
Loved the poha today. Perfect seasoning.,5,good
The salad served for breakfast was oily.,2,bad
Really frustrated lunch today. chicken was hard.,2,bad
The idli served for breakfast was oily.,2,bad
upset experience. The chicken was overcooked.,2,bad
Not happy with meal. paratha was stale.,2,bad
Absolute pathetic dinner. rice was bad.,2,bad
The rajma was undercooked and frozen.,2,bad
Chapatis were stale from yesterday.,1,bad
Very poor with the dinner. paneer was salty.,2,bad
The poha served for lunch was perfect.,4,good
Very wonderful with the breakfast. rajma was rich.,5,good
The meal was edible but not great.,3,good
The breakfast was amazing! Hot parathas and fresh curd.,5,good
Found the chole to be horrible but lukewarm.,1,bad
great experience. The dosa was spicy.,5,good
Perfect quantity and quality. Very satisfied.,5,good
The chole served for food was salty.,1,bad
rajma quality is burnt. upset job.,1,bad
The rajma was excellent and hot.,5,good
Very great with the food. chole was flavorful.,4,good
roti quality is tasty. great job.,5,good
The sabzi served for lunch was rich.,5,good
wonderful experience. The dal was spicy.,5,good
Really disappointed food today. roti was terrible.,2,bad
The khichdi was stale and lukewarm.,2,bad
Excellent breakfast spread. Very filling.,4,good
Not happy with lunch. khichdi was tasty.,4,good
